  Disciplina,         Nome da disciplina,            Professor,Créd,Trm,Destino,Vag,Turno,Horário/ Unidade,Hr Dist.,SHF,Pré-Req,Depto
INF1626,LING FORMAIS E AUTOMATOS,EDWARD HERMANN HAEUSLER,4,3WA,QQC,40,I,"SEG 11-13  / GAVEA 
QUA 11-13  / GAVEA",0,0,SIM,INF
INF1631,ESTRUTURAS DISCRETAS,RUY LUIZ MILIDIU,4,3WA,QQC,30,I,"SEG 09-11  / GAVEA 
QUA 09-11  / GAVEA",0,0,NÃO,INF
INF1631,ESTRUTURAS DISCRETAS,THIBAUT VICTOR GASTON VIDAL,4,3WB,QQC,30,I,"SEG 09-11  / GAVEA 
QUA 09-11  / GAVEA",0,0,NÃO,INF
INF1636,PROGRAMACAO ORIENTADA OBJETOS,IVAN MATHIAS FILHO,4,3WA,CCI,2,I,"SEG 15-17  / GAVEA 
QUA 15-17  / GAVEA",0,0,SIM,INF
INF1636,PROGRAMACAO ORIENTADA OBJETOS,IVAN MATHIAS FILHO,4,3WA,QQC,40,I,"SEG 15-17  / GAVEA 
QUA 15-17  / GAVEA",0,0,SIM,INF
INF1640,REDES DE COMUNICACAO DE DADOS,LUIZ FERNANDO GOMES SOARES,4,3WA,QQC,30,I,"TER 09-11  / GAVEA 
QUI 09-11  / GAVEA",0,1,SIM,INF
INF1715,COMPILADORES,ROBERTO IERUSALIMSCHY,4,3WA,CCI,1,I,"TER 09-11  / GAVEA 
QUI 09-11  / GAVEA",0,0,SIM,INF
INF1715,COMPILADORES,ROBERTO IERUSALIMSCHY,4,3WA,QQC,14,I,"TER 09-11  / GAVEA 
QUI 09-11  / GAVEA",0,0,SIM,INF
INF1721,ANALISE DE ALGORITMOS,RAUL PIERRE RENTERIA,4,3WB,CCI,2,I,"TER 19-21  / GAVEA 
QUI 19-21  / GAVEA",0,0,SIM,INF
INF1721,ANALISE DE ALGORITMOS,MARCUS VINICIUS S P DE ARAGAO,4,3WA,QQC,30,I,"SEG 09-11  / GAVEA 
QUA 09-11  / GAVEA",0,0,SIM,INF
INF1721,ANALISE DE ALGORITMOS,RAUL PIERRE RENTERIA,4,3WB,QQC,28,I,"TER 19-21  / GAVEA 
QUI 19-21  / GAVEA",0,0,SIM,INF
INF1761,COMPUTACAO GRAFICA,MARCELO GATTASS,4,3WA,QQC,30,I,"SEG 15-17  / GAVEA 
QUA 15-17  / GAVEA",0,0,SIM,INF
INF1771,INTELIGENCIA ARTIFICIAL,HELIO CORTES VIEIRA LOPES,4,3WA,CCI,2,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,SIM,INF
INF1771,INTELIGENCIA ARTIFICIAL,HELIO CORTES VIEIRA LOPES,4,3WA,QQC,28,I,"TER 13-15  / GAVEA 
QUI 13-15  / GAVEA",0,0,SIM,INF
INF1806,TOPICOS EM ENG COMPUTACAO V,FRANCIS BERENGER MACHADO,4,3WA,QQC,30,I,"TER 15-17  / GAVEA 
QUI 15-17  / GAVEA",0,0,NÃO,INF
INF1811,SEMINARIO I,COORDENADOR DE CURSO,1,3WA,QQC,10,I,GAVEA,0,1,SIM,INF
INF1812,SEMINARIO II,MYRIAM SERTA COSTA,2,3WA,QQC,10,I,SEG 15-17  / GAVEA,0,0,NÃO,INF
INF1813,SEMINARIO III,COORDENADOR DE CURSO,3,3WA,QQC,10,I,GAVEA,0,3,SIM,INF
INF1814,SEMINARIO IV,COORDENADOR DE CURSO,4,3WA,QQC,10,I,GAVEA,0,4,SIM,INF
